Name,Screen,Main Camera,Selfie Camera,Rom,Ram,Pin,Price
Samsung Galaxy A7 Chính hãng (2016)," Super AMOLED, 5.5"", Full HD",13 MP,5.0 MP, 16 GB, 3 GB,Pin: Li-Ion 3300 mAh,8.490.000 Đ
Samsung Galaxy A9 Pro Chính hãng," Super AMOLED, 6.0"", Full HD",16 MP,8.0 MP, 32 GB, 4 GB,Pin: Li-Ion 5000 mAh,10.690.000 Đ
Samsung Galaxy J3 (2016) chính hãng," Super AMOLED, 5.0"", HD",8.0 MP,5.0 MP, 16/8 GB, 1.5 GB,Pin: Li-Ion 2600 mAh,2.790.000 Đ
Samsung Galaxy J1 (2016) chính hãng," Super AMOLED, 4.5""",5.0 MP,2.0 MP, 8 GB, 1 GB,Pin: Li-Ion 2050 mAh,1.990.000 Đ
Samsung Galaxy A5 chính hãng (2016)," Super AMOLED, 5.2"", Full HD",13 MP,5.0 MP, 16 GB, 2 GB,Pin: Li-Ion 2900 mAh,Liên hệ
Sony Tablet Z," IPS LCD, 10.1"", Full HD",8.1, 8.1 MP, 16 GB, 2 GB,Pin: Li-Po 6000 mAh,11.990.000 Đ
Sony Xperia Z3 Tablet Compact (Wifi only)," IPS LCD, 8.0"", Full HD",8.0, 8.0 MP, 16 GB, 3 GB,Pin: Li-Ion 4500 mAh,Liên hệ
iPhone 7 Lock Mới Đã Kích Hoạt," IPS LCD, 4.7"", HD",12 MP,7.0 MP, 128/256/32 GB, 2 GB,Pin: Li-Po 1960 mAh,3.190.000 Đ
Samsung Galaxy J7 Plus Chính Hãng," Super AMOLED, 5.5"", Full HD",13 MP,16 MP, 32 GB, 4 GB,Pin: Li-Ion 3000 mAh,5.990.000 Đ
HP Slate 6 2 sim Chính hãng," IPS LCD, 6.0"", HD",5.0 MP,2.0 MP, 16 GB, 1 GB,Pin: Li-Po 3000 mAh,3.690.000 Đ
Nomi 5 chính hãng," IPS LCD, 5.5"", HD",8.0 MP,2.0 MP, 16 GB, 2 GB,Pin: Li-Po 2400 mAh,1.890.000 Đ
Nomi 6S Plus," IPS LCD, 5.5"", HD",8.0 MP,2.0 MP, 32 GB, 3 GB,Pin: Li-Po 2800 mAh,2.990.000 Đ
Nomi 3 Mini," IPS LCD, 5.0"", HD",8.0 MP,2.0 MP, 16 GB, 1 GB,Pin: Li-Po 2100 mAh,1.990.000 Đ
Nomi 3S," IPS LCD, 5.0"", Full HD",8.0 MP,2.0 MP, 8 GB, 1 GB,Pin: Li-Po 1950 mAh,1.590.000 Đ
Nomi 6," TFT, 5.0"", HD",8.0 MP,2.0 MP, 16 GB, 2 GB,Pin: Li-Po 2500 mAh,2.690.000 Đ
InFocus V5 (InFocus M560)," IPS LCD, 5.2"", Full HD",13 MP,5.0 MP, 16 GB, 2 GB,Pin: Li-Po 2450 mAh,2.190.000 Đ
InFocus M810T," IPS LCD, 5.5"", Full HD",13 MP,5.0 MP, 16 GB, 2 GB,Pin: Li-Po 2600 mAh,2.890.000 Đ
InFocus M812T," IPS LCD, 5.5"", Full HD",13 MP,8.0 MP, 16 GB, 3 GB,Pin: Li-Po 2900 mAh,Liên hệ
Kashi inni 6s," IPS LCD, 5.5"", Retina HD",13 MP,5.0 MP, 32 GB, 2 GB,Pin: Li-Po 4500 mAh,Liên hệ
Kashi inni 6," IPS LCD, 5.5"", HD",13 MP,5.0 MP, 16 GB, 1 GB,Pin: Li-Po 3500 mAh,3.190.000 Đ
Leagoo M5 chính hãng," IPS LCD, 5.0"", HD",8.0 MP,5.0 MP, 16 GB, 2 GB,Pin: Li-Po 2300 mAh,2.290.000 Đ
Bphone chính hãng," IPS LCD, 5.0"", Full HD",13 MP,5.0 MP, 128/16/64 GB, 3 GB,Pin: Li-Po 3000 mAh,9.990.000 Đ
OnePlus 3," AMOLED, 5.5"", Full HD",16 MP,8.0 MP, 64 GB, 6 GB,Pin: Li-Po 3000 mAh,Liên hệ
OnePlus One," IPS LCD, 5.5"", Full HD",13 MP,5.0 MP, 16/64 GB, 3 GB,Pin: Li-Po 3100 mAh,Liên hệ
