Name,Screen,Main Camera,Selfie Camera,Rom,Ram,Pin,Price
Samsung Galaxy Z Flip Chính Hãng," 6.7 inches, 101.6 cm2","Triple: 12 MP, f/1.8, 27mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS 12 MP, f/2.2, 12mm (ultrawide)","10 MP, f/2.4, 26mm (wide), PDAF", 256 GB, 8 GB,Pin: Fast battery charging 15W,36.000.000 Đ
Samsung Galaxy A60 6Gb/64Gb," 6.3 inches, 97.4 cm2","32 MP, f/1.7, 0.8µm, PDAF","16 MP, f/2.0", 64 GB, 6 GB,Pin: Li-Po 3410 mAh,4.890.000 Đ
Samsung Galaxy A10s Chính Hãng," 6.2 inches, 95.9 cm2 (~81.6% screen-to-body ratio)","Dual: 13 MP, f/1.8, 28mm (wide), AF 2 MP, f/2.4, depth sensor",8 MP, 32 GB, 2 GB,Pin: 4000 mAh,2.790.000 Đ
Samsung Galaxy A20s 3Gb/32Gb Chính Hãng," 6.5 inches, 105.5 cm2","Triple: 13 MP, f/1.8, PDAF 8 MP, f/2.2, 13mm (ultrawide) 5 MP, f/2.2, depth sensor","8 MP, f/2.0", 32 GB, 3 GB,Pin: Fast battery charging 15W,3.190.000 Đ
Samsung Galaxy A50 4Gb/64Gb Chính Hãng, 6.4 FHD+ Infinity-U display,Triple: 25MP (F1.7) + 5MP(F2.2) + 8MP (Ultra-Wide),25MP(F2.0), 64 GB, 4 GB,Pin: Fast battery charging 15W,4.990.000 Đ
Samsung Galaxy A80 8Gb/128Gb Chính Hãng, 6.7 inches,Triple camera( 48 MP x 8 MP x TOF),Triple camera( 48 MP x 8 MP x TOF), 128 GB, 8 GB,Pin: Fast battery charging 25W,7.490.000 Đ
Samsung Galaxy S8 cũ 99% Nhật," Super AMOLED, 5.8"", Quad HD (2K)",12 MP,8.0 MP, 64 GB, 4 GB,Pin: Li-Ion 3000 mAh,4.290.000 Đ
Samsung Galaxy S10 Plus Mỹ Mới Đổi Bảo Hành, 6.4 inches,"Triple: 12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS 12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom Third unannounced camera",8.0 MP, 128 GB, 8 GB,Pin: Li-Ion 4100 mAh,10.090.000 Đ
Samsung Galaxy Note 9 Mỹ Mới Đổi Bảo Hành," Super AMOLED, 6.4 inches","Dual : 12 MP, f/1.5-2.4, 26mm, 1/2.55"", 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 52mm, 1/3.6"", 1µm, AF, OIS, 2x optical zoom","8 MP, f/1.7, 25mm, 1/3.6"", 1.22µm, AF", 128 GB, 6 GB,Pin: Li-Ion 4000 mAh,8.390.000 Đ
Samsung Galaxy Note 8 Mỹ Mới Đổi Bảo Hành," Super AMOLED, 6.3"", Quad HD (2K)",Dual 12 MP,8.0 MP, 64 GB, 6 GB,Pin: Li-on 3300 mAh,6.090.000 Đ
Samsung Galaxy Note 10 Plus Mỹ Mới Đổi Bảo Hành," 6.8 inches, 114.0 cm2 (~91.0% screen-to-body ratio)",Triple: 12MP Tele F2.1( TOF) . 12MP F1.5/1.8/1.4(3 Khẩu độ) . 16MP F2.2 ( Camera siêu rộng 123 độ),"10 MP, f/2.2, 26mm (wide), 1.22µm, Dual Pixel PDAF", 256 GB, 12 GB,Pin: Li-Ion 4300 mAh batter,13.790.000 Đ
Samsung Galaxy Note 8 64Gb Cũ 99% Hàn Quốc," Super AMOLED, 6.3"", Quad HD (2K)",Dual 12 MP,8.0 MP, 64 GB, 6 GB,Pin: Li-on 3300 mAh,6.190.000 Đ
Samsung Galaxy Note 8 cũ 99% Mỹ," Super AMOLED, 6.3"", Quad HD (2K)",Dual 12 MP,8.0 MP, 64 GB, 6 GB,Pin: Li-on 3300 mAh,5.790.000 Đ
Samsung Galaxy Note 9 Hàn Quốc 128Gb Like New," Super AMOLED, 6.4 inches","Dual : 12 MP, f/1.5-2.4, 26mm, 1/2.55"", 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 52mm, 1/3.6"", 1µm, AF, OIS, 2x optical zoom","8 MP, f/1.7, 25mm, 1/3.6"", 1.22µm, AF", 128 GB, 6 GB,Pin: Li-Ion 4000 mAh,7.290.000 Đ
Samsung Galaxy Note 9 128Gb cũ 99% Mỹ," Super AMOLED, 6.4 inches","Dual : 12 MP, f/1.5-2.4, 26mm, 1/2.55"", 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 52mm, 1/3.6"", 1µm, AF, OIS, 2x optical zoom","8 MP, f/1.7, 25mm, 1/3.6"", 1.22µm, AF", 128 GB, 6 GB,Pin: Li-Ion 4000 mAh,7.390.000 Đ
Vivo X50 Lite 8GB/128GB Chính Hãng," AMOLED, 6.38 inch, 1080 x 2340 pixel","Chính 48MP & Phụ 8MP, 2MP, 2MP",16 MP, 128 GB, 8 GB,Pin: Li-Po 4500 mAh,5.990.000 Đ
Samsung Galaxy S9 Plus cũ 99% Mỹ," Super AMOLED, 6.2"", Quad HD (2K)",12 MP,8.0 MP, 128/256/64 GB, 6 GB,Pin: Li-Ion 3500 mAh,6.090.000 Đ
Samsung Galaxy S9 Plus cũ 99% Hàn Quốc," Super AMOLED, 6.2"", Quad HD (2K)",12 MP,8.0 MP, 128/256/64 GB, 6 GB,Pin: Li-Ion 3500 mAh,6.290.000 Đ
Samsung galaxy S9 cũ 99% Mỹ," Super AMOLED, 5.8"", Quad HD (2K)",12 MP,8.0 MP, 128/256/64 GB, 4 GB,Pin: Li-Ion 3000 mAh,5.390.000 Đ
Samsung galaxy S9 cũ 99% Hàn Quốc," Super AMOLED, 5.8"", Quad HD (2K)",12 MP,8.0 MP, 128/256/64 GB, 4 GB,Pin: Li-Ion 3000 mAh,5.590.000 Đ
OPPO F11 Pro 6GB/128GB chính hãng," 6.53 inches, 103.6 cm2 (~90.9% screen-to-body ratio)",48MP + 5MP,16 MP, 128 GB, 6GB,Pin: Non-removable Li-Po 4000 mAh battery,7.290.000 Đ
Samsung Galaxy S10 Plus 8Gb/128Gb Cũ Mỹ, 6.4 inches,"Triple: 12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS 12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom Third unannounced camera",8.0 MP, 128 GB, 8 GB,Pin: Li-Ion 4100 mAh,9.590.000 Đ
Vivo Y30 4GB/128GB Chính Hãng, 6.47 inch,"Chính 13MP & Phụ 8MP, 2MP, 2MP",8MP, 128 GB, 4GB,Pin: Li-Po 5000 mAh,3.990.000 Đ
Samsung Galaxy S10 Plus 8Gb/128Gb Cũ Hàn Quốc, 6.4 inches,"Triple: 12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS 12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom Third unannounced camera",8.0 MP, 128 GB, 8 GB,Pin: Li-Ion 4100 mAh,9.790.000 Đ
Samsung Galaxy S10 Cũ Mỹ, 6.1 inches,"Triple: 12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS 12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom 16 MP, f/2.2, 12mm (ultrawide)","10 MP, f/1.9, Dual Pixel PDAF", 128 GB, 8 GB,Pin: Li-Ion 3400 mAh,8.590.000 Đ
Samsung Galaxy S10e 6Gb/128Gb Likenew 99% Mỹ, 5.8 inches,"Dual: 12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS 16 MP, f/2.2, 12mm (ultrawide), 1.0µm","10 MP, f/1.9, 26mm (wide), 1.22µm, Dual Pixel PDAF", 128 GB, 6 GB,Pin: Fast battery charging 15W,8.090.000 Đ
Samsung Galaxy A30s 4Gb/64Gb Chính Hãng," 6.4 inches, 100.5 cm2","Triple: 25 MP, f/1.7, PDAF 8 MP, f/2.2, 13mm (ultrawide) 5 MP, f/2.2, depth sensor","16 MP, f/2.0", 64 GB, 4 GB,Pin: Fast battery charging 15W,3.790.000 Đ
Samsung Galaxy Note 10 Plus 5G Hàn Quốc," 6.8 inches, 114.0 cm2 (~91.0% screen-to-body ratio)",Triple: 12MP Tele F2.1( TOF) . 12MP F1.5/1.8/1.4(3 Khẩu độ) . 16MP F2.2 ( Camera siêu rộng 123 độ),"10 MP, f/2.2, 26mm (wide), 1.22µm, Dual Pixel PDAF", 256 GB, 12 GB,Pin: Li-Ion 4300 mAh batter,11.290.000 Đ
Samsung Galaxy S8 Plus cũ 99% Mỹ," Super AMOLED, 6.2"", Quad HD (2K)",Dual 12 MP,8.0 MP, 128/64 GB, 4 GB,Pin: 3500 mAh,5.590.000 Đ
Samsung Galaxy S8 Plus 4Gb/64Gb cũ 99% Hàn Quốc," Super AMOLED, 6.2"", Quad HD (2K)",Dual 12 MP,8.0 MP, 128/64 GB, 4 GB,Pin: 3500 mAh,5.790.000 Đ
Samsung Galaxy S8 cũ 99% Mỹ," Super AMOLED, 5.8"", Quad HD (2K)",12 MP,8.0 MP, 64 GB, 4 GB,Pin: Li-Ion 3000 mAh,4.890.000 Đ
iPhone 6S Plus Lock Cũ 16GB Nguyên Bản," IPS LCD, 5.5"", Full HD",12 MP,5.0 MP, 16 GB, 2 GB,Pin: Li-Po 2750 mAh,2.890.000 Đ
Samsung Galaxy S8 cũ 99% Hàn Quốc," Super AMOLED, 5.8"", Quad HD (2K)",12 MP,8.0 MP, 64 GB, 4 GB,Pin: Li-Ion 3000 mAh,5.290.000 Đ
iPhone 6S Plus Lock Cũ 64Gb Nguyên Bản," IPS LCD, 5.5"", Full HD",12 MP,5.0 MP, 64 GB, 2 GB,Pin: Li-Po 2750 mAh,3.390.000 Đ
iPhone 6S Plus Lock Cũ 128Gb Nguyên Bản," IPS LCD, 5.5"", Full HD",12 MP,5.0 MP, 128 GB, 2 GB,Pin: Li-Po 2750 mAh,3.890.000 Đ
Vivo iQOO Neo3 5G 6GB/128GB Chính Hãng, 1080 x 2408 pixel,"Chính 48MP & Phụ 8MP, 2MP",16 MP, 128/256 GB, 12 GB,Pin: Li-Po 4500mAh,9.990.000 Đ
Oppo Reno3 A 6GB/128GB chính hãng, 1080 x 2400 pixels,"Chính 48MP & Phụ 8MP, 2MP, "," Chính 48MP & Phụ 8MP, 2MP, 2MP", 128 GB, 6GB,Pin: Fast battery charging 30W: 50% in 20min (VOOC Flash Charge 4.0),6.490.000 Đ
Oppo Find X2 Neo 12GB/256GB Chính Hãng, 1080 x 2400 pixel,"Chính 48MP & Phụ 13MP, 8MP, 2MP",44MP, 256 GB, 12 GB,Pin: Li-Po 4025 mAh,10.990.000 Đ
OPPO A72 4GB/128GB Chính Hãng, 1080 x 2400 pixels,"Chính 48MP & Phụ 8MP, 2MP, 2MP",16MP, 128 GB, 4GB,Pin: Li-Po 5000 mAh,6.990.000 Đ
Realme X3 5G 6GB/64GB Chính Hãng, 1080 x 2400 pixels,"Chính 48MP & Phụ 8MP, 2MP, 2MP",16MP & 2MP, 128GB/256GB/64GB, 12GB,Pin: Li-Po 4100 mAh,8.990.000 Đ
Realme X50 Youth 5G 4GB/128GB Chính Hãng, 1080 x 2400 pixel,"Chính 48MP & Phụ 8MP, 2MP, 2MP",16MP & 2MP, 128GB, 4GB,Pin: Li-Po 4500mAh,7.990.000 Đ
Google Pixel 4XL 6GB/64GB cũ," 6.3 inch, P-Oled 2K+",12.2 MP,8MP, 64 GB, 6 GB,Pin: Li-Po 3700 mAh,14.090.000 Đ
OPPO Reno 2 8GB/256GB chính hãng," 1080 x 2400 pixels, 20:9 ratio (~401 ppi density)","13MP, f/2.4, (telephoto), 1/3.4"", 1.0µm, PDAF","Motorized pop-up 16 MP, f/2.0, 26mm (wide), 1/3.1"", 1.0µm", 256 GB, 8 GB,Pin: 4000 mAh,10.990.000 Đ
OPPO Find X2 Lite 8GB/128GB chính hãng," AMOLED, 6.4 inch, 1080 x 2400 pixels","Chính 48MP & Phụ 8MP, 2MP, 2MP",32 MP, 128 GB, 8 GB,Pin: Fast battery charging 30W: 50% in 20min (VOOC Flash Charge 4.0),9.990.000 Đ
OPPO F11 Pro 6GB/64GB chính hãng," 6.53 inches, 103.6 cm2 (~90.9% screen-to-body ratio)",48MP + 5MP,16 MP, 64 GB, 6GB,Pin: Non-removable Li-Po 4000 mAh battery,4.890.000 Đ
OPPO A12e 3GB/64GB Chính Hãng," 720 x 1520 pixels, IPS, 6.2 inch",Chính 13MP & Phụ 2MP,8MP, 64 GB, 3 GB,Pin: Li-Ion 4230 mAh,2.840.000 Đ
Xiaomi Redmi 7A 16GB Ram 2GB," IPS LCD , 5,45"" HD",13 MP,5 MP, 16 GB, 2 GB,Pin: Li-Ion 4000 mAh,1.690.000 Đ
Xiaomi Redmi 7 Ram 2GB / 16GB," 6,26 inches IPS LCD",Dual 12 MP + 2 MP,8 MP, 16 GB, 2 GB,Pin: Non-removable Li-Po 4000 mAh battery,2.190.000 Đ
OPPO Ace2 8GB/128GB chính hãng, 1080 x 2400 pixel,"Chính 48MP & Phụ 8MP, 2MP, 2MP",16 MP, 128GB/256 GB, 12 GB,Pin: Fast wireless charging 40W,15.990.000 Đ
Xiaomi Mi 9 Chính Hãng DGW 64 Gb Ram 6 Gb," 6,4 inches, Super AMOLED","Tripple 48 MP, f/1.8, 1/2"", 0.8µm, PDAF 12 MP, PDAF",24 MP, 64 GB, 6 GB,Pin: Non-removable Li-Po 3300 mAh battery,5.590.000 Đ
Xiaomi Mi 9 SE Chính Hãng DGW 64 Gb Ram 6 Gb," 5,97 inches , Super AMOLED","48 MP, f/1.8, 1/2"", 0.8µm, PDAF 13 MP, f/2.4, (ultrawide), 1.12µm 8 MP, f/2.4, (telephoto), 1.12µm, PDAF",20 MP, 64 GB, 6 GB,Pin: Non-removable Li-Ion 3070 mAh battery,6.990.000 Đ
Xiaomi Mi CC9 RAM 6GB/64GB," 6.39 inches, Super AMOLED capacitive touchscreen, 16M colors","Triple: 48 MP, f/1.8, (wide), 1/2"", 0.8µm, PDAF 8 MP, (ultrawide) 2 MP, depth sensor","32 MP, f/2.0, 0.8µm", 64 GB, 6 GB,Pin: Li-Po 4030 mAh,5.390.000 Đ
Xiaomi Mi Pad 4 32Gb Ram 3Gb (Wifi), IPS LCD 8.0 inch,13 MP,5 MP, 32 GB, 3 GB,Pin: Non-removable Li-Po 6000 mAh battery,3.990.000 Đ
Xiaomi Redmi Note 5 Pro 32Gb Ram 3Gb," 5.99 inches, 92.6 cm2",Dual 12 MP + 5 MP,13 MP, 32 GB, 3 GB,Pin: Li-Po 4000 mAh,2.990.000 Đ
Xiaomi Pocophone F1 Chính Hãng Ram 6GB / 64GB," 6.18 inches, Ful HD+",Dual 12 MP + 5 MP,20 MP, 64 GB, 6 GB,Pin: Non-removable Li-Po 4000 mAh battery,5.990.000 Đ
Xiaomi Redmi 7A 32GB Ram 2GB," IPS LCD , 5,45"" HD",13 MP,5 MP, 32 GB, 2 GB,Pin: Li-Ion 4000 mAh,1.890.000 Đ
Xiaomi Black Shark 2 128GB Ram 6GB," 6,39 inches AMOLED",Dual 48 MP + 12 MP,20 MP, 128 GB, 6GB,Pin: Non-removable Li-Po 4000 mAh battery,9.190.000 Đ
Xiaomi Mi CC9e RAM 4GB / 64GB," 6.01 inches, Super AMOLED capacitive touchscreen, 16M colors","Triple: 48 MP, f/1.8, (wide), 1/2"", 0.8µm, PDAF 8 MP, (ultrawide) 2 MP, depth sensor","32 MP, f/2.0, 0.8µm", 64 GB, 4 GB,Pin: Li-Po 4030 mAh,3.390.000 Đ
Xiaomi Redmi K20 Pro 128GB Ram 6GB," 6,39 inches","Tripple : 48 mp , 13 mp , 8 mp","Motorized pop-up 20 MP, f/2.0, 0.9µm", 128 GB, 6GB,Pin: Li-Po 4000 mAh,7.490.000 Đ
Xiaomi Redmi Note 6 Pro 32Gb / 3Gb - Chính hãng DGW / FPT, 6.26 '' Full HD+,Dual 12 MP + 5 MP,Dual 20 MP + 2 MP, 32 GB, 3 GB,Pin: 4000 mAh,2.990.000 Đ
Xiaomi Mi 8 SE 64Gb Ram 4Gb," 5.88 inches, 87.6 cm2 (~81.3% screen-to-body ratio)","Dual: 12 MP (f/1.9, 1.4µm, dual-pixel PDAF, gyro-EIS) + 5 MP (f/2.0, 1.12µm), dual pixel phase detection autofocus, LED flash","20 MP (f/2.0, 2.0µm), 1080p", 64 GB, 4 GB,Pin: Non-removable Li-Po 3120 mAh battery,4.290.000 Đ
Xiaomi Redmi K20 Pro 128GB Ram 8GB," 6,39 inches","Tripple : 48 mp , 13 mp , 8 mp","Motorized pop-up 20 MP, f/2.0, 0.9µm", 128 GB, 8 GB,Pin: Li-Po 4000 mAh,7.990.000 Đ
Xiaomi Mi Mix 3 - 128 Gb Ram 6 Gb - Chính hãng DGW, 6.5 inches IPS LCD,Dual 12MP + 12MP,Dual 24MP + 2MP, 128 GB, 6GB,Pin: Li-Ion 3200 mAh,11.690.000 Đ
Realme 3 3GB/32GB Chính Hãng," IPS LCD, 6.22"", HD+",13 MP và 2 MP (2 camera),13 MP, 32 GB, 3 GB,Pin: Li-Ion 4230 mAh,3.490.000 Đ
Vivo S6 5G 8GB/128GB Chính Hãng, 1080 x 2400 pixels,"Chính 48MP & Phụ 8MP, 2MP, 2MP",32MP, 128/256 GB, 8 GB,Pin: Li-Po 4500mAh,8.490.000 Đ
Realme Narzo 10 3GB/64GB Chính Hãng, 6.5 inches IPS LCD,"Chính 48MP & Phụ 8MP, 2MP, 2MP",16 MP, 128GB/64GB, 3 GB,Pin: Li-Po 5000 mAh,4.990.000 Đ
Xiaomi Redmi Note 6 Pro 64Gb / 4Gb - Chính hãng DGW / FPT, 6.26 '' Full HD+,Dual 12 MP + 5 MP,Dual 20 MP + 2 MP, 64 GB, 4 GB,Pin: 4000 mAh,3.290.000 Đ
Vivo V17 Pro 8GB/128GB Chính Hãng, 1080 x 2400 pixel,"Chính 48MP & Phụ 13MP, 8MP, 2MP",Motorized pop-up 32MP & 8MP, 128 GB, 8GB,Pin: Li-Po 4100 mAh,8.290.000 Đ
Xiaomi Mi 8 Lite 64 GB Ram 4 GB Chính Hãng DGW," 6.26 inches, IPS LCD 1080 x 2280 pixels",Dual 12 MP + 5 MP,"24 MP, 0.9µm", 64 GB, 4 GB,Pin: Non-removable Li-Po 3350 mAh battery,3.590.000 Đ
Xiaomi Mi 8 Lite 128 GB Ram 6 GB Chính Hãng DGW," 6.26 inches, IPS LCD 1080 x 2280 pixels",Dual 12 MP + 5 MP,"24 MP, 0.9µm", 128 GB, 6 GB,Pin: Non-removable Li-Po 3350 mAh battery,4.590.000 Đ
Xiaomi Mi 8 Ram 6GB / 64GB," 6.21 inches, 97.1 cm2 (~83.8% screen-to-body ratio)","Dual: 12 MP (f/1.8, 1/2.55"", 1.4µm, 4-axis OIS, dual-pixel PDAF) + 12 MP (f/2.4, 1/3.4"", 1.0µm), 2x optical zoom, dual pixel phase detection autofocus, dual-LED flash","20 MP (f/2.0, 1.8µm), 1080p", 64 GB, 6 GB,Pin: Non-removable Li-Po 3400 mAh battery,5.590.000 Đ
Xiaomi Mi Pad 4 64Gb Ram 4Gb (Wifi), IPS LCD 8.0 inch,13 MP,5 MP, 64 GB, 4 GB,Pin: Non-removable Li-Po 6000 mAh battery,4.790.000 Đ
Xiaomi Mi Pad 4 64Gb Ram 4Gb (Wifi & 4G), IPS LCD 8.0 inch,13 MP,5 MP, 64 GB, 4 GB,Pin: Non-removable Li-Po 6000 mAh battery,5.190.000 Đ
Xiaomi Mi 6X Ram 4Gb / 32Gb," LTPS IPS LCD , 5.99 inches",Dual 12 MP + 20 MP,20 MP, 32 GB, 4 GB,Pin: Non-removable Li-Ion 3010 mAh battery,3.290.000 Đ
Xiaomi Black Shark HeLo 128 Gb Ram 8 Gb," 6.01 inches , AMOLED capacitive touchscreen, 16M colors",Dual 12 MP + 20 MP,20 MP, 128 GB, 8 GB,Pin: Non-removable Li-Ion 4000 mAh battery,6.790.000 Đ
Xiaomi Redmi Note 5 Pro 64Gb Ram 4Gb," 5.99 inches, 92.6 cm2",Dual 12 MP + 5 MP,13 MP, 64 GB, 4 GB,Pin: Li-Po 4000 mAh,3.490.000 Đ
Xiaomi Mi 8 Youth Edition 64 GB Ram 4 GB," 6.26 inches, IPS LCD 1080 x 2280 pixels",Dual 12 MP + 5 MP,"24 MP, 0.9µm", 64 GB, 4 GB,Pin: Non-removable Li-Po 3350 mAh battery,3.390.000 Đ
Xiaomi Mi Mix 2S Ram 6GB/64GB," 5.99 inches, 92.6 cm2 (~81.9% screen-to-body ratio)","Dual: 12 MP (f/1.8, 1/2.55"", 1.4 µm) + 12 MP (f/2.4, 1/2.9"", 1.0 µm), 2x optical zoom, dual pixel phase detection autofocus, 4-axis OIS, dual-LED dual-tone flash",5.0 MP, 64 GB, 6 GB,Pin: Li-Ion 3400 mAh,8.090.000 Đ
Xiaomi Mi 8 Pro 128 GB Ram 6 GB," 6,21 inches , 1080 x 2248 pixels","12 MP, f/1.8, 1/2.55"", 1.4µm, 4-axis OIS, dual pixel PDAF 12 MP, f/2.4, 1/3.4"", 1.0µm, AF, 2x optical zoom","20 MP, f/2.0, 0.9µm", 128 GB, 6 GB,Pin: Non-removable Li-Po 3000 mAh battery,6.290.000 Đ
Xiaomi Mi 6X Ram 6Gb /  64Gb," LTPS IPS LCD , 5.99 inches",Dual 12 MP + 20 MP,20 MP, 64 GB, 6 GB,Pin: Non-removable Li-Ion 3010 mAh battery,3.990.000 Đ
iPhone 7 Plus 32Gb Mới Chính Hãng," IPS LCD, 5.5"", Full HD",12 MP,7.0 MP, 32 GB, 3 GB,Pin: Li-Ion 2900 mAh,8.790.000 Đ
OPPO A91 8GB/128GB chính hãng," AMOLED, 6.4"", Full HD+","Chính 48MP & Phụ 8MP, 2MP, 2MP",16MP, 128GB, 8GB,Pin: Li-Po 4025 mAh,6.490.000 Đ
Oppo Find X2 Pro 12GB/512GB Chính Hãng, 1440 x 3168 pixel,"Chính 48MP & Phụ 48MP, 13MP",32 MP, 512 GB, 12 GB,Pin: Li-Po 4260 mAh,25.990.000 Đ
Xiaomi Mi CC9e RAM 6GB / 64GB," 6.01 inches, Super AMOLED capacitive touchscreen, 16M colors","Triple: 48 MP, f/1.8, (wide), 1/2"", 0.8µm, PDAF 8 MP, (ultrawide) 2 MP, depth sensor","32 MP, f/2.0, 0.8µm", 64 GB, 6 GB,Pin: Li-Po 4030 mAh,3.690.000 Đ
Samsung Galaxy Fold Chính Hãng," 7.3 inches, 162.6 cm2","Triple: 12 MP, f/1.5-2.4, 27mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS 12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom 16 MP, f/2.2, 12mm (ultrawide), 1/3.1"", 1.0µm","Dual: 10 MP, f/2.2, 26mm (wide), 1/3"", 1.22µm 8 MP, f/1.9, 24mm (wide), 1.22µm, depth sensor", 512 GB, 12 GB,Pin: Fast battery charging 15W,50.000.000 Đ
Vivo iQOO 3 5G 6GB/128GB Chính Hãng, 1080 x 2400 pixel,"Chính 48MP & Phụ 13MP, 13MP, 2MP",16 MP, 128/256 GB, 12 GB,Pin: Li-Po 4400 mAh,15.990.000 Đ
Vivo Z6 5G 6GB/128GB Chính Hãng, 1080 x 2400 pixels,"Chính 48MP & Phụ 8MP, 2MP, 2MP",16 MP, 128 GB, 6 GB,Pin: Li-Po 5000 mAh,9.990.000 Đ
Xiaomi Mi 10 RAM 12GB / 256GB," 6.67 inches, 109.2 cm2 (~89.8% screen-to-body ratio)","108 MP, f/1.7, (wide), 1/1.33"", 0.8µm, PDAF, OIS 13 MP, f/2.4, 12mm (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)","20 MP, f/2.0, (wide), 1/3"", 0.9µm", 256 GB, 12 GB,Pin: Non-removable Li-Po 4780 mAh battery Charging Fast battery charging 30W Power Delivery 3.0 Fast wireless charging 30W Power bank/Reverse wireless charging 10W,15.590.000 Đ
Realme X50 Pro 5G 12GB/256GB Chính Hãng, 1080 x 2400 pixel,"Chính 64MP & Phụ 12MP, 8MP, 2MP",32MP & 8MP, 128GB/256GB, 12GB,Pin: Li-Po 4200mAh,18.990.000 Đ
OPPO Reno3 Vitality 8GB/128GB chính hãng," 1080 x 2400 pixels, 20:9 ratio (~411 ppi density)","Chính 48MP & Phụ 8MP, 2MP, 2MP",32 MP, 128 GB, 8 GB,Pin: Fast battery charging 30W: 50% in 20min (VOOC Flash Charge 4.0),5.990.000 Đ
Xiaomi Redmi 8 Chính Hãng Ram 4GB / 64GB," 6,22 inches HD",Dual 12 MP + 2 MP,8 MP, 64 GB, 4 GB,Pin: 5000 mAh,2.690.000 Đ
OPPO F11 6GB/64GB chính hãng," 6.53 inches, 104.7 cm2 (~85.3% screen-to-body ratio)","48 MP, f/1.8, 1/2"", 0.8µm, PDAF 5 MP, f/2.4, 1/5"", 1.12µm, depth sensor","16 MP, f/2.0, 1/3.1"", 1.0µm", 64 GB, 6GB,Pin: Non-removable Li-Po 4000 mAh battery,6.290.000 Đ
Samsung A50 Cũ 4Gb/64Gb Chính Hãng, 6.4 FHD+ Infinity-U display,Triple: 25MP (F1.7) + 5MP(F2.2) + 8MP (Ultra-Wide),25MP(F2.0), 64 GB, 4 GB,Pin: Fast battery charging 15W,3.750.000 Đ
Xiaomi Mi A3 Chính Hãng DGW 64GB Ram 4GB," 6.01 inches, Super AMOLED capacitive touchscreen, 16M colors","Triple: 48 MP, f/1.8, (wide), 1/2"", 0.8µm, PDAF 8 MP, (ultrawide) 2 MP, depth sensor","32 MP, f/2.0, 0.8µm", 64 GB, 4 GB,Pin: Li-Po 4030 mAh,3.990.000 Đ
Realme 3 Pro 4GB/64GB Chính Hãng," IPS LCD, 6.3"", Full HD+",Chính 16 MP & Phụ 5 MP,25 MP, 64 GB, 4 GB,Pin: 4045 mAh,3.490.000 Đ
Samsung Galaxy A10 Chính Hãng," 6.2 inches, 95.9 cm2 (~81.6% screen-to-body ratio)",13 MP,5 MP, 32 GB, 2 GB,Pin: 3400mAh,2.190.000 Đ
Xiaomi Redmi Note 7 Ram 4GB / 64GB," LTPS LCD 6.3"" Full HD+",Dual 48 MP + 5 MP,13 MP, 64 GB, 4 GB,Pin: Li-Po 4000 mAh,3.290.000 Đ
Xiaomi Redmi 8 Chính Hãng Ram 3GB / 32GB," 6,22 inches HD",Dual 12 MP + 2 MP,8 MP, 32 GB, 3 GB,Pin: 5000 mAh,2.390.000 Đ
Xiaomi Redmi 8A Ram 2Gb / 32GB chính hãng," 6.2 inches, 95.9 cm2 (~81.3% screen-to-body ratio)","12 MP, f/1.8, 1/2.55"", 1.4µm, dual pixel PDAF","8 MP, f/2.0, 1.12µm", 32 GB, 2 GB,Pin: Non-removable Li-Po 5000 mAh battery,2.090.000 Đ
Realme X50 5G 8GB/128GB, 1080 x 2400 pixel,"Chính 64MP & Phụ 12MP, 8MP, 2MP","16 MP, f/2.0", 128GB/256GB, 12GB,Pin: Li-Po 4200mAh,8.990.000 Đ
OPPO A5S Chính Hãng 3GB/32GB," IPS LCD, 6.2"", HD+",Dual 13MP + 2 MP,8.0 MP, 32 GB, 3 GB,Pin: Li-Ion 4230 mAh,3.090.000 Đ
